基金管理人简称,switch_direction,relative_market_environment,observation_count,unique_fund_count,hit_ratio,mean_active_contribution,median_active_contribution
金鹰基金,减股票,差异较小,8,4,0.875,0.005126647380350068,0.004239334602885017
金鹰基金,减股票,股显著强,4,2,0.0,-0.0126735806647923,-0.011916686974582858
金鹰基金,加股票,债显著强,2,2,0.0,-0.005745693263226633,-0.005745693263226633
金鹰基金,加股票,差异较小,8,4,0.0,-0.00201105341810416,-0.0008417726172533387
金鹰基金,加股票,股显著强,4,3,1.0,0.033194346558242056,0.022950086603359614
银华基金,减股票,债显著强,1,1,1.0,0.0044618849029491,0.0044618849029491
银华基金,减股票,差异较小,7,3,0.8571428571428571,0.0030232435013717003,0.0023920374991588792
银华基金,减股票,股显著强,4,4,0.0,-0.018857871542825845,-0.01770486312258128
银华基金,加股票,差异较小,18,5,0.1111111111111111,-0.004605444974312323,-0.002290109459622075
银华基金,加股票,股显著强,5,3,1.0,0.025116891644225352,0.01764809315170732
银河基金,减股票,差异较小,3,1,1.0,0.0038613173602004415,0.0029267692588433136
银河基金,减股票,股显著强,1,1,0.0,-0.01281687078081372,-0.01281687078081372
银河基金,加股票,债显著强,1,1,0.0,-0.0237027324066966,-0.0237027324066966
银河基金,加股票,差异较小,5,2,0.0,-0.009099763125864902,-0.0011462557847259332
银河基金,加股票,股显著强,1,1,1.0,0.034495336370741585,0.034495336370741585
长信基金,减股票,差异较小,18,7,0.7777777777777778,0.0028446566539175114,0.003273335490556541
长信基金,减股票,股显著强,4,3,0.0,-0.013910425751070866,-0.012102245585444565
长信基金,加股票,债显著强,4,4,0.0,-0.009709580285891512,-0.009402787008155299
长信基金,加股票,差异较小,13,7,0.07692307692307693,-0.005384956600347083,-0.0022263919839064557
长信基金,加股票,股显著强,5,4,1.0,0.01600090291336268,0.015687486231839996
长城基金,减股票,差异较小,2,1,1.0,0.0033814206471780147,0.0033814206471780147
长城基金,加股票,差异较小,1,1,0.0,-0.0019447358810428656,-0.0019447358810428656
长盛基金,减股票,债显著强,2,2,1.0,0.007890722975002065,0.007890722975002065
长盛基金,减股票,差异较小,8,5,0.875,0.011934842578736655,0.008752924127365055
长盛基金,减股票,股显著强,1,1,0.0,-0.009586413797532507,-0.009586413797532507
长盛基金,加股票,债显著强,1,1,0.0,-0.007381649682682904,-0.007381649682682904
长盛基金,加股票,差异较小,10,5,0.2,-0.00236767144744765,-0.0008437842455925029
长盛基金,加股票,股显著强,4,3,1.0,0.040761728236719585,0.041407367546187394
鹏华基金,减股票,债显著强,2,2,1.0,0.02825655264697684,0.02825655264697684
鹏华基金,减股票,差异较小,13,6,0.9230769230769231,0.0019889404658586787,0.0020070370193078866
鹏华基金,减股票,股显著强,4,3,0.0,-0.014722773156412964,-0.011111677986219572
鹏华基金,加股票,债显著强,1,1,0.0,-0.038808259819765135,-0.038808259819765135
鹏华基金,加股票,差异较小,13,8,0.15384615384615385,-0.0025112162186880413,-0.0007114449438243776
鹏华基金,加股票,股显著强,5,3,1.0,0.021279938546637695,0.013871301469835836
鹏扬基金,减股票,债显著强,1,1,1.0,0.005848296686931683,0.005848296686931683
鹏扬基金,减股票,差异较小,4,2,1.0,0.002853963342646691,0.003575824867137406
鹏扬基金,减股票,股显著强,1,1,0.0,-0.03424712697536131,-0.03424712697536131
鹏扬基金,加股票,差异较小,6,2,0.16666666666666666,-0.0018203603120313142,-0.0013457305710076605
鹏扬基金,加股票,股显著强,3,3,1.0,0.021526697556338403,0.019753796847863134
