threshold,基金管理人简称,switch_observation_count,switch_unique_fund_count,switch_success_count,switch_hit_ratio,wilson_lower_95,wilson_upper_95,mean_active_contribution,median_active_contribution,threshold_rank
0.03,华泰证券(上海)资产管理,15,2,4,0.26666666666666666,0.10897453325692374,0.5195043405598057,-0.00820865446632173,-0.002777494733045749,89.0
0.03,国联安基金,10,1,3,0.3,0.10779126740630099,0.6032218525388546,-0.0011445857207953004,-0.0022701750344906227,90.0
0.03,中银证券,10,1,3,0.3,0.10779126740630099,0.6032218525388546,-0.0018253410643134823,-0.0006227928459592784,91.0
0.03,东方基金,22,4,5,0.22727272727272727,0.10123039985248516,0.4343995317522171,-0.005508578679540636,-0.0030297193227812585,92.0
0.03,建信基金,6,1,2,0.3333333333333333,0.09677141110578041,0.700006684861608,-0.0030459056671056288,-0.004020339087032564,93.0
0.03,泰信基金,2,1,1,0.5,0.09453120573423074,0.9054687942657693,-1.9952402327335457e-05,-1.9952402327335457e-05,94.0
0.03,诺安基金,7,1,2,0.2857142857142857,0.08221892400405678,0.6410655481673808,0.003991287568760062,-0.0015670541328427778,95.0
0.03,圆信永丰基金,7,1,2,0.2857142857142857,0.08221892400405678,0.6410655481673808,-0.0023631132439124645,-0.0026331254704315805,96.0
0.03,诺德基金,4,1,1,0.25,0.04558726080970055,0.6993581574175981,-0.0017095077669822085,-0.0006405705980366677,97.0
0.03,上银基金,6,2,1,0.16666666666666666,0.030053369748306635,0.5635028221864702,-0.004144071252278571,-0.004393486175025366,98.0
0.03,众盈基金,3,1,0,0.0,5.551115123125783e-17,0.5614970317550454,-0.029504097156565823,-0.013438938277671276,99.0
0.03,泓德基金,4,1,0,0.0,0.0,0.4898908364545973,-0.007230860689871416,-0.003231635635107732,100.0
0.03,国联基金,0,0,0,,,,,,
0.05,广发基金,97,18,65,0.6701030927835051,0.5716272738928372,0.7556190827735929,0.002105753663447624,0.0006509132390251684,1.0
0.05,东兴基金,9,1,8,0.8888888888888888,0.5650002944233439,0.9801091123614551,0.011508283119397123,0.010483881268077831,2.0
0.05,农银汇理基金,8,2,7,0.875,0.5291118177871464,0.9775825085499433,0.0077628298493034095,0.0008032684320566138,3.0
0.05,浙商证券资管,8,1,7,0.875,0.5291118177871464,0.9775825085499433,0.002671885685745542,0.002204005966761918,4.0
0.05,中邮基金,17,4,13,0.7647058823529411,0.5273820188043501,0.9044495567791988,0.0029418423973499867,0.00089836125736634,5.0
0.05,前海开源基金,20,4,14,0.7,0.4810271816464765,0.8545227551323956,0.015146640211228335,0.002465506188673826,6.0
0.05,西部利得基金,12,3,9,0.75,0.46769466506643426,0.9110583316059453,0.003767972318645125,0.0034532551390977634,7.0
0.05,易方达基金,55,13,32,0.5818181818181818,0.45033103735230756,0.7026223424648965,-0.0007747519013787507,0.0005612616233336193,8.0
0.05,华商基金,33,5,20,0.6060606060606061,0.43683440819940234,0.7531689256552291,0.0014318643817076888,0.0010199610525937607,9.0
0.05,汇安基金,26,5,16,0.6153846153846154,0.4253485008511553,0.7757140556428721,0.0018161505881095078,0.0032981043854458623,10.0
0.05,景顺长城基金,31,8,18,0.5806451612903226,0.4076626249536972,0.7358445693268778,0.0007751584551516339,0.0006279778237712271,11.0
0.05,鹏华基金,38,8,21,0.5526315789473685,0.3970629712199248,0.6985359900194876,0.0015374700209195645,0.0005385764259109531,12.0
0.05,华夏基金,69,15,35,0.5072463768115942,0.39205267562636525,0.6216757699071268,9.162067440184925e-05,0.00034920028155052544,13.0
0.05,长盛基金,26,5,15,0.5769230769230769,0.3894861374659171,0.7445555668634343,0.00898701236815707,0.002256119821951341,14.0
0.05,安信基金,20,5,12,0.6,0.3865815007622531,0.781193467627183,0.001571832899631489,0.0006537464193599219,15.0
0.05,光大保德信基金,16,4,10,0.625,0.38641040545502714,0.8151876744113636,0.004590701357930176,0.0006806640966278875,16.0
0.05,浙商基金,18,3,11,0.6111111111111112,0.3861904160223791,0.7969475342783638,0.0024372513727412342,0.0007004841409133749,17.0
0.05,民生加银基金,18,3,11,0.6111111111111112,0.3861904160223791,0.7969475342783638,-0.0011315202380976907,0.0009587051186969132,18.0
0.05,博时基金,53,10,27,0.5094339622641509,0.3788352911467995,0.6387575015215675,-0.0002341960884826979,0.0003642420781935486,19.0
0.05,创金合信基金,5,1,4,0.8,0.37553462976252533,0.9637758913675698,0.003828705569278628,0.0007277817809723031,20.0
0.05,南方基金,17,7,10,0.5882352941176471,0.3600544264299978,0.7838894320978518,0.006490638102432288,0.0006256381472327131,21.0
0.05,鹏扬基金,15,3,9,0.6,0.357468301206246,0.8017550385865841,0.002444996925265631,0.0013227134964193222,22.0
0.05,汇丰晋信基金,11,2,7,0.6363636363636364,0.35380117450784887,0.8483352890463243,0.004444402743504466,0.000445404303914614,23.0
0.05,兴银基金管理,11,2,7,0.6363636363636364,0.35380117450784887,0.8483352890463243,6.46983429257497e-05,0.0028891012643330223,24.0
0.05,招商基金,91,18,41,0.45054945054945056,0.3523976853313362,0.5527071062660257,-0.0017727823456072686,-0.000590169149541236,25.0
0.05,大成基金,20,7,11,0.55,0.34208534245034233,0.7418021417443759,-0.0010630180887697157,0.0002846976095906465,26.0
0.05,中银基金,27,7,14,0.5185185185185185,0.3398561575495229,0.6925677302378153,-0.0024758542231853938,0.0013187155991881928,27.0
0.05,国寿安保基金,51,8,23,0.45098039215686275,0.3226751854937402,0.5861529144963119,-0.0004879058049621394,-0.0006369728123401752,28.0
0.05,平安基金,41,9,19,0.4634146341463415,0.32056233976336046,0.6125352873233052,-2.1977490222797492e-05,-0.0004145874081324744,29.0
0.05,华富基金,12,2,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,0.002317735211381686,0.001681094015623012,30.0
0.05,长信基金,44,7,20,0.45454545454545453,0.31705234142220895,0.5993381680103802,-0.0007562755821598405,-0.0005132678506811724,31.0
0.05,汇添富基金,29,6,14,0.4827586206896552,0.3138609015268349,0.6556897811800528,-0.0006385070722698652,-0.0004063040925302475,32.0
0.05,富国基金,50,9,22,0.44,0.3116219921125717,0.5769397197834315,-0.00035007852003564083,-0.0005792737615289343,33.0
0.05,信达澳亚基金,15,2,8,0.5333333333333333,0.30116980025498397,0.7519046463426261,-0.003181743560144274,0.0010626085619312407,34.0
0.05,摩根基金(中国),25,3,12,0.48,0.30031285954112974,0.6650148304964322,-0.0049906122970874356,-0.00046785985451517476,35.0
0.05,中加基金,6,2,4,0.6666666666666666,0.299993315138392,0.9032285888942195,0.006953264102150581,0.002416398053698468,36.0
0.05,国泰基金,52,11,22,0.4230769230769231,0.2986805208350091,0.5580567462609698,-0.0020148992832941647,-0.0005460784895643336,37.0
0.05,融通基金,36,7,16,0.4444444444444444,0.2954126874008022,0.6041893824430271,0.0013381835517070372,-0.0003446837421937288,38.0
0.05,天弘基金,18,5,9,0.5,0.29031021505169974,0.7096897849483003,0.005206445934338203,9.031524776336171e-05,39.0
0.05,兴证全球基金,21,4,10,0.47619047619047616,0.2834400610153417,0.6763046541715557,-0.0016968831848138569,-0.0007302348690805281,40.0
0.05,万家基金,22,5,10,0.45454545454545453,0.2692029418081331,0.6534020467926505,-0.000725730375731396,-0.00041240890966483224,41.0
0.05,财通资管,28,5,12,0.42857142857142855,0.26508547124123694,0.6092921437253123,0.0010095232019763296,-0.000799929271149497,42.0
0.05,国投瑞银基金,20,3,9,0.45,0.2581978582556243,0.6579146575496577,0.0003075284718467927,-0.0007805975302669365,43.0
0.05,银华基金,35,5,14,0.4,0.2555072885938059,0.5642729098710749,-0.0002034413735784986,-0.0006324568285324629,44.0
0.05,金鹰基金,26,4,11,0.4230769230769231,0.2554444331365656,0.6105138625340828,0.0036737087978966545,-0.00037848618245993397,45.0
0.05,永赢基金,12,2,6,0.5,0.2537815976337061,0.7462184023662939,0.001212380856725978,-0.00011485972234425438,46.0
0.05,格林基金,12,2,6,0.5,0.2537815976337061,0.7462184023662939,0.0011775829606033448,0.0006205314659834193,47.0
0.05,前海联合,7,1,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,-0.0004904140602604274,0.0006819635716653372,48.0
0.05,博道基金,7,1,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,-0.0037290408129704647,0.0008303668436630588,49.0
0.05,财通基金,7,2,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,-0.008205897034261589,0.002585129431134509,50.0
