基金主代码,基金名称,基金管理人简称,投资风格,annualized_evaluation_pool,return_quarter_count,return_period_start,return_period_end,contribution_evaluation_pool,contribution_quarter_count,latest_valid_nav_yuan,annualized_fund_return,annualized_csi300_return,annualized_bond_return,annualized_three_asset_benchmark_return,annualized_loo_peer_return,annualized_excess_vs_three_asset,annualized_excess_vs_loo_peer,significant_switch_count,significant_switch_coverage,cumulative_active_allocation_contribution,annualized_active_allocation_contribution,annualized_excess_positive,annualized_allocation_contribution_positive
015578.OF,南方宝祥混合A,南方基金,收入型,正式年化,12,2023Q1,2026Q1,正式贡献,12,37230000.0,0.00896785487228069,0.0667681742093853,0.0409985989082291,0.04764208123230884,0.03115682771527184,-0.03867422636002815,-0.02218897284299115,2,0.16666666666666666,-0.0049048030746299265,-0.0016376146761289956,False,False
015976.OF,光大保德信数字经济主题混合A,光大保德信基金,成长型,正式年化,8,2024Q2,2026Q1,正式贡献,8,13840000.0,0.3226685458148859,0.19935461577039582,0.031971293380573806,0.15002896092508067,0.1098266838273485,0.17263958488980524,0.2128418619875374,1,0.125,0.07569398830242813,0.03715668454791743,True,True
016641.OF,华商稳健泓利一年持有期混合A,华商基金,收入型,正式年化,11,2023Q3,2026Q1,正式贡献,10,64100000.0,0.04035817201704228,0.1151903547976707,0.04224296546238837,0.05282912024049469,0.04484458958740323,-0.012470948223452405,-0.0044864175703609455,8,0.8,0.02362182830415982,0.00938260326181406,False,True
016830.OF,广发恒裕一年持有期混合A,广发基金,收入型,正式年化,11,2023Q3,2026Q1,正式贡献,10,25260000.0,0.05836919129293294,0.1151903547976707,0.04224296546238837,0.05127537869907717,0.04483554559168912,0.007093812593855775,0.013533645701243824,8,0.8,0.05594545440788812,0.0220134093302915,True,True
016832.OF,东方红锦惠甄选18个月持有混合A,东方红资产管理,收入型,正式年化,10,2023Q3,2026Q1,正式贡献,12,24810000.0,0.08005202038878911,0.05554426002994273,0.050488946360854436,0.04572760994760139,0.03257576627994507,0.034324410441187725,0.04747625410884404,1,0.08333333333333333,-0.01569553336631402,-0.005259457856858996,True,False
016844.OF,红土创新稳益6个月持有期混合A,红土创新基金,收入型,年化观察池,7,2023Q3,2026Q1,正式贡献,11,158930000.0,,,,,,,,9,0.8181818181818182,-0.05381081851260949,-0.01991279549575864,,False
016873.OF,广发远见智选混合A,广发基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,11986170000.000002,0.35910975233320563,0.06555749968804503,0.043099338066887816,0.0634811657827472,0.05386027233660662,0.2956285865504584,0.305249479996599,3,0.25,0.011705080920361377,0.003886568654799971,True,True
016961.OF,浙商汇金平稳增长一年混合,浙商证券资管,成长型,正式年化,11,2023Q2,2026Q1,正式贡献,12,61580000.0,0.02598378283263214,0.10720798203222359,0.03441002017291783,0.0901691373123723,0.06534582476334072,-0.06418535447974016,-0.03936204193070858,8,0.6666666666666666,0.02143820690750009,0.007095602314839633,False,True
016995.OF,华泰紫金安恒平衡配置混合发起A,华泰证券(上海)资产管理,收入型,正式年化,11,2023Q1,2025Q4,正式贡献,12,196490000.0,0.05787108800137997,0.030080245386131077,0.04031564713322178,0.022996155432182475,0.02566273600559077,0.03487493256919749,0.0322083519957892,6,0.5,-0.07033606055638009,-0.024017579511150577,True,False
017043.OF,汇添富品质价值混合,汇添富基金,成长型,正式年化,13,2023Q1,2026Q1,正式贡献,12,1627400000.0,0.08413215595762025,0.06555749968804503,0.043099338066887816,0.03808133754212406,0.053092095613320955,0.046050818415496186,0.03104006034429929,4,0.3333333333333333,-0.0022779662430130188,-0.0007598993818075384,True,False
