基金管理人简称,evaluation_pool,credibility_grade,switch_observation_count,switch_unique_fund_count,max_single_fund_observation_share,top_two_fund_observation_share,max_single_fund_absolute_contribution_share,formal_gate_reason
国海富兰克林基金,观察池,观察池,3,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
建信基金,观察池,观察池,6,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
英大基金,观察池,观察池,3,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
工银瑞信基金,观察池,观察池,28,5,0.32142857142857145,0.5714285714285714,0.39061783469583683,切换观察<30
华泰证券(上海)资产管理,观察池,观察池,11,2,0.5454545454545454,1.0,0.5588426585176478,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
红土创新基金,观察池,观察池,15,2,0.6,1.0,0.7625753054485811,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
新华基金,观察池,观察池,12,2,0.5833333333333334,1.0,0.555105548125976,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
诺德基金,观察池,观察池,4,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
交银施罗德基金,观察池,观察池,29,6,0.2413793103448276,0.4827586206896552,0.4364839010676814,切换观察<30
东方基金,观察池,观察池,17,4,0.35294117647058826,0.7058823529411765,0.4359420589769129,切换观察<30；切换基金<5
中银证券,观察池,观察池,9,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
上银基金,观察池,观察池,5,2,0.8,1.0,0.9292095634846654,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
太平基金,观察池,观察池,5,2,0.8,1.0,0.9755540268559362,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
圆信永丰基金,观察池,观察池,6,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
众盈基金,观察池,观察池,3,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
泓德基金,观察池,观察池,3,1,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%
国联基金,观察池,观察池,0,0,,,,切换观察<30；切换基金<5；收益观察<30
