基金管理人简称,evaluation_pool,credibility_grade,formal_rank,annualized_valid_fund_count,active_contribution_valid_fund_count,median_annualized_fund_return,equal_weight_annualized_fund_return,nav_weighted_annualized_fund_return,median_annualized_three_asset_benchmark_return,median_annualized_excess_vs_three_asset,median_annualized_excess_vs_loo_peer,median_annualized_active_allocation_contribution,annualized_excess_positive_fund_ratio,active_contribution_positive_fund_ratio
财通资管,观察池,观察池,,3,4,0.09759048705173079,0.08143777825186042,0.05712565953959356,0.0433865197131329,0.05594138565615725,0.06609879273482844,0.0032408281975252473,0.6666666666666666,0.5
国投瑞银基金,观察池,观察池,,3,3,0.09358527788437354,0.09419654481608923,0.10627636746001175,0.04231750300017145,0.052050148296486354,0.026232254379850328,0.003762875210215455,1.0,0.6666666666666666
光大保德信基金,观察池,观察池,,3,4,0.0776247379165047,0.14440152040711207,0.18325571861918835,0.07235866391829027,0.04472182470170183,0.052275555693399145,0.005674696773837862,0.6666666666666666,0.5
中加基金,观察池,观察池,,1,2,0.09835705729359256,0.09835705729359256,0.09835705729359256,0.056014534172307284,0.04234252312128528,0.04470880699669899,0.006994611768500358,1.0,1.0
华宝基金,观察池,观察池,,2,3,0.1043825450921193,0.1043825450921193,0.10442156924014437,0.06760905036364118,0.03677349472847813,0.05118776603622821,-0.0006147196882814177,1.0,0.3333333333333333
大成基金,观察池,观察池,,7,7,0.10231812248272965,0.08437572039609306,0.07250247269988735,0.053667155401102784,0.03572481478083378,0.04879757039319399,6.232622733914894e-05,0.7142857142857143,0.5714285714285714
泰康基金,观察池,观察池,,2,3,0.07772050035915778,0.07772050035915778,0.10968423498559898,0.04968368712179849,0.028036813237359293,0.019738280174066425,-0.00046681689814809246,0.5,0.3333333333333333
上银基金,观察池,观察池,,2,2,0.07989534160364609,0.07989534160364609,0.094744813275471,0.0524617508069849,0.02743359079666119,0.047274086419044514,-0.0030584009385323796,0.5,0.0
诺德基金,观察池,观察池,,1,1,0.07443962540039362,0.07443962540039362,0.07443962540039362,0.052429662064104265,0.02200996333628935,0.021394404225763886,-0.002347019158849273,1.0,0.0
华泰证券(上海)资产管理,观察池,观察池,,2,2,0.044860206183153895,0.044860206183153895,0.04913061796321924,0.023739840622086117,0.021120365561067778,0.012503078565393011,-0.0200197127871114,1.0,0.0
合煦智远基金,观察池,观察池,,1,1,0.019092106223582483,0.019092106223582483,0.019092106223582483,-0.00026710912740079973,0.019359215350983283,-0.024043221337150866,-0.009343031717924943,1.0,0.0
东兴基金,观察池,观察池,,1,1,0.14808646062162012,0.14808646062162012,0.14808646062162012,0.1298707449829779,0.018215715638642216,0.08544698095687164,0.04179375210488723,1.0,1.0
中银基金,观察池,观察池,,4,7,0.08282312790019686,0.11348004058755426,0.14973786904389805,0.06882287890490646,0.009165730561681906,0.036686427721923154,0.00026160546322073763,0.5,0.5714285714285714
中海基金,观察池,观察池,,1,1,0.04612064182751685,0.04612064182751685,0.04612064182751685,0.039232860557526505,0.006887781269990345,-0.008075093157741797,-0.008075963956542531,1.0,0.0
益民基金,观察池,观察池,,1,1,0.0336918241172377,0.0336918241172377,0.0336918241172377,0.027469585602357904,0.0062222385148797965,-0.020241881936635453,-0.005730062626591259,1.0,0.0
汇添富基金,观察池,观察池,,2,6,0.049135417913568014,0.049135417913568014,0.0778392133678863,0.04345537001431976,0.005680047899248253,0.005644654529971871,-0.0023935241582767053,0.5,0.3333333333333333
民生加银基金,观察池,观察池,,3,3,0.05148318968741927,0.05328011733640962,0.04727340804439439,0.055733515100480524,0.005202803003682144,-0.01837870752180648,0.006290968197903757,0.6666666666666666,0.6666666666666666
华富基金,观察池,观察池,,2,2,0.03508507095897628,0.03508507095897628,0.03481618058164518,0.034593003545686285,0.0004920674132899983,-0.0234575717069494,0.004526277808698409,0.5,1.0
国海富兰克林基金,观察池,观察池,,1,1,0.04829574339698861,0.04829574339698861,0.04829574339698861,0.04787931423040548,0.0004164291665831321,-0.005119472688526194,0.0031260887226736145,1.0,1.0
