基金管理人简称,evaluation_pool,return_observation_count,switch_observation_count,switch_unique_fund_count,switch_success_count,switch_hit_ratio,wilson_lower_95,wilson_upper_95,mean_active_contribution,median_active_contribution,winsor_1_mean_contribution,winsor_5_mean_contribution,bootstrap_lower_95,bootstrap_upper_95,equal_weight_dynamic_excess,nav_weighted_dynamic_excess,equal_weight_three_asset_excess,nav_weighted_three_asset_excess,fund_positive_ratio,company_quarter_positive_ratio,worst_company_quarter_contribution,max_single_fund_observation_share,top_two_fund_observation_share,max_single_fund_absolute_contribution_share,formal_gate_reason,positive_threshold_count,positive_signal_count,credibility_grade,formal_rank
民生加银基金,观察池,46,18,3,11,0.6111111111111112,0.3861904160223791,0.7969475342783638,-0.0011315202380976907,0.0009587051186969132,-0.0011028103639649414,-0.000987970867433934,,,-0.0039024784086061108,-0.002603590923941771,-0.002369252400877442,-0.001167932626179226,0.6666666666666666,0.6666666666666666,-0.012939571211982841,0.5,0.7777777777777778,0.5222362853383873,切换观察<30；切换基金<5,0,3,观察池,
浙商基金,观察池,39,18,3,11,0.6111111111111112,0.3861904160223791,0.7969475342783638,0.0024372513727412342,0.0007004841409133749,0.002236492192060182,0.0014334554693359817,,,-0.011393351697688271,-0.008747523062404153,-0.009179137026043893,-0.00799543172820323,0.6666666666666666,0.5833333333333334,-0.011556940431250036,0.4444444444444444,0.8333333333333334,0.6184532267596878,切换观察<30；切换基金<5,3,4,观察池,
华润元大基金,观察池,8,5,1,3,0.6,0.2307242812760128,0.882379225767352,0.03228867831112343,0.002673864329818933,0.03155351897717061,0.02861288164135935,,,-0.012409017250407725,-0.017058886118060987,0.009266553284200724,0.007647969875106217,1.0,0.6,-0.008110632755866374,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,4,观察池,
安信基金,观察池,59,20,5,12,0.6,0.3865815007622531,0.781193467627183,0.001571832899631489,0.0006537464193599219,0.0016070353398269885,0.0017478451006089867,,,0.00013931718437828046,0.0005568669679972951,0.0016571890792011316,0.0011396695750778556,0.8,0.5454545454545454,-0.01420506361054593,0.35,0.55,0.40624024199933867,切换观察<30,2,6,观察池,
浦银安盛基金,观察池,11,5,1,3,0.6,0.2307242812760128,0.882379225767352,0.003471082594630781,0.0012511075753516292,0.0035163823914449986,0.003697581578701867,,,-0.009191608145467255,-0.011587965331186997,0.005513235757307125,0.005513235757307125,1.0,0.6,-0.03136160633994154,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,4,观察池,
益民基金,观察池,13,5,1,3,0.6,0.2307242812760128,0.882379225767352,-0.0034108238302067912,0.0015376434078094511,-0.0033886436402148002,-0.003299922880246836,,,-0.006287223823662923,-0.0064167246334300276,0.002977057779766093,0.0016503786531410919,0.0,0.6,-0.015260285135738759,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,0,2,观察池,
鹏扬基金,观察池,48,15,3,9,0.6,0.357468301206246,0.8017550385865841,0.002444996925265631,0.0013227134964193222,0.0025486588251962183,0.002963306424918569,,,-0.006565791663775131,-0.004245604767104685,-0.00401647361165866,-0.002368250106034529,0.6666666666666666,0.6,-0.03424712697536131,0.5333333333333333,0.8,0.4070148437739529,切换观察<30；切换基金<5；单基金观察占比>50%,3,4,观察池,
南方基金,观察池,86,17,7,10,0.5882352941176471,0.3600544264299978,0.7838894320978518,0.006490638102432288,0.0006256381472327131,0.006470348921293759,0.006389192196739643,,,0.00011781087080476543,-0.0005782266327469261,-0.003757960362524347,-0.004290834640379765,0.5714285714285714,0.5555555555555556,-0.01234953899707901,0.29411764705882354,0.47058823529411764,0.20681170356660136,切换观察<30,3,5,观察池,
华富基金,观察池,26,12,2,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,0.002317735211381686,0.001681094015623012,0.002220035340312745,0.0018292358560369748,,,-0.004190665162697081,-0.0050985993422929254,-0.00011651976268637829,-0.0009939894363674732,1.0,0.5,-0.019140695238351227,0.5833333333333334,1.0,0.7442125825239484,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,4,观察池,
长盛基金,观察池,61,26,5,15,0.5769230769230769,0.3894861374659171,0.7445555668634343,0.00898701236815707,0.002256119821951341,0.008894742444267105,0.008088054632459967,,,0.0011399175638552184,-0.0005067049199102184,0.007123713595278202,0.002626011031012963,0.8,0.7272727272727273,-0.004674253874921146,0.2692307692307692,0.5384615384615384,0.538974067538899,切换观察<30,3,5,观察池,
前海联合,观察池,12,7,1,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,-0.0004904140602604274,0.0006819635716653372,-0.00046479530912422383,-0.0003623203045794096,,,-0.014371650757550668,-0.01518244431347162,-0.013286125576474872,-0.014376645737287724,0.0,0.5714285714285714,-0.01258610588386219,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,1,2,观察池,
博道基金,观察池,13,7,1,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,-0.0037290408129704647,0.0008303668436630588,-0.0036852619153145603,-0.0035101463246909465,,,-0.0040528651988036455,-0.0034634175972939204,-0.0025081072324878604,-0.0023282368270417584,0.0,0.5714285714285714,-0.01578309117597851,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,1,2,观察池,
财通基金,观察池,21,7,2,4,0.5714285714285714,0.2504583645276572,0.8417801447485302,-0.008205897034261589,0.002585129431134509,-0.008075467471694197,-0.007553749221424621,,,0.015245408139372255,0.01874353877268497,0.01552207973752134,0.019049520544161248,0.0,0.5714285714285714,-0.05880153712889479,0.7142857142857143,1.0,0.747057629930503,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,0,4,观察池,
大成基金,观察池,88,20,7,11,0.55,0.34208534245034233,0.7418021417443759,-0.0010630180887697157,0.0002846976095906465,-0.0008663598114405389,-7.972670212383099e-05,,,0.004285504896624232,-0.010395418401808024,0.00891595037792736,-0.009600277951287026,0.5714285714285714,0.6,-0.022347223910216034,0.25,0.45,0.2993381134738672,切换观察<30,0,4,观察池,
信达澳亚基金,观察池,26,15,2,8,0.5333333333333333,0.30116980025498397,0.7519046463426261,-0.003181743560144274,0.0010626085619312407,-0.002995472555214172,-0.002250388535493758,,,-0.01168385971795636,-0.018836753049152128,-0.011058882874317279,-0.018475827317481097,0.0,0.5,-0.06231043720353414,0.5333333333333333,1.0,0.6549659002580278,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,0,2,观察池,
中银基金,观察池,85,27,7,14,0.5185185185185185,0.3398561575495229,0.6925677302378153,-0.0024758542231853938,0.0013187155991881928,-0.0023126710545243283,-0.0019095566897676466,,,-0.0007688709109957881,-0.0024620543542212044,0.0026954252583756507,-0.0014225079181223869,0.5714285714285714,0.4,-0.018872603824220045,0.2962962962962963,0.5185185185185185,0.2907864022847328,切换观察<30,0,3,观察池,
东方红资产管理,观察池,51,6,4,3,0.5,0.1876163064826506,0.8123836935173494,-0.005411676309454552,-0.0013184506538565168,-0.005414566634210319,-0.005426127933233392,,,0.0002741781782361643,-0.0014105725696759903,0.0009529046758805581,-0.0010946167230641525,0.5,0.5,-0.020805990776673094,0.3333333333333333,0.6666666666666666,0.44407100686774065,切换观察<30；切换基金<5,0,1,观察池,
中金基金,观察池,13,4,1,2,0.5,0.15003898915214947,0.8499610108478506,-0.012245215098371488,-0.003799859742360659,-0.011991854437691163,-0.010978411794969865,,,0.03204130152481239,0.003018197341484218,0.033452395661490414,0.0035869018084637113,0.0,0.5,-0.04348660612258279,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,0,2,观察池,
华泰保兴基金,观察池,13,6,1,3,0.5,0.1876163064826506,0.8123836935173494,0.00113100855135958,-0.002162769277763007,0.000998107767363295,0.00046650463137814835,,,0.009163183878150231,-0.004574144920858485,-0.011169569497730687,-0.007013794052233443,1.0,0.5,-0.037269290456117064,1.0,1.0,1.0,切换观察<30；切换基金<5；收益观察<30；单基金观察占比>50%,3,3,观察池,
